@RELATION Ice99999

@ATTRIBUTE countlinecode REAL
@ATTRIBUTE countclassbase REAL
@ATTRIBUTE countclasscoupled REAL
@ATTRIBUTE countclassderived REAL
@ATTRIBUTE countdeclmethodall REAL
@ATTRIBUTE countdeclmethod REAL
@ATTRIBUTE maxinheritancetree REAL
@ATTRIBUTE percentlackofcohesion REAL
@ATTRIBUTE countdeclinstancemethod REAL
@ATTRIBUTE countdeclinstancevariable REAL
@ATTRIBUTE defect {0.0,1.0}

@DATA
13.0,1.0,3.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0
6.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136.0,1.0,8.0,1.0,51.0,51.0,1.0,0.0,51.0,0.0,0.0
43.0,1.0,7.0,0.0,24.0,6.0,3.0,33.0,6.0,1.0,1.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0
20.0,1.0,3.0,1.0,17.0,17.0,1.0,0.0,17.0,0.0,0.0
5.0,0.0,2.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,0.0
1632.0,6.0,73.0,274.0,369.0,196.0,4.0,97.0,194.0,46.0,1.0
10.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0
4.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
6.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0
68.0,1.0,3.0,1.0,381.0,12.0,5.0,8.0,12.0,1.0,1.0
709.0,1.0,21.0,0.0,39.0,39.0,1.0,96.0,33.0,2.0,1.0
44.0,2.0,2.0,0.0,5.0,5.0,1.0,60.0,5.0,7.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
51.0,2.0,2.0,0.0,5.0,5.0,1.0,64.0,5.0,9.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
48.0,2.0,5.0,0.0,5.0,5.0,1.0,60.0,5.0,5.0,0.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
75.0,2.0,3.0,0.0,6.0,6.0,1.0,59.0,6.0,11.0,1.0
7.0,2.0,2.0,0.0,2.0,2.0,1.0,0.0,2.0,0.0,0.0
68.0,2.0,3.0,0.0,5.0,5.0,1.0,60.0,5.0,14.0,0.0
